x,y,z,ley,antes_max,Period,valor,valor_acum
24255,24555,3025,0.41,0,0.0,-27294.698385000018,-27294.698385000018
24255,24555,3035,0.41,0,0.0,-27294.698385000018,-54589.396770000036
24255,24555,3045,0.42,0,0.0,-25523.837370000012,-80113.23414000004
24255,24555,3055,0.42,0,0.0,-25523.837370000012,-105637.07151000005
24255,24555,3065,0.42,0,1.0,-23203.488518181828,-128840.56002818188
24255,24555,3075,0.46,0,1.0,-16763.99391818182,-145604.55394636368
24255,24555,3085,0.46,0,1.0,-16763.99391818182,-162368.5478645455
24255,24555,3095,0.45,0,1.0,-18373.867568181817,-180742.4154327273
24255,24555,3105,0.45,0,1.0,-18373.867568181817,-199116.28300090914
24255,24555,3115,0.53,0,2.0,-4995.343971074384,-204111.62697198353
24255,24555,3125,0.52,0,2.0,-6458.865471074381,-210570.4924430579
24255,24555,3135,0.51,0,2.0,-7922.386971074378,-218492.8794141323
24255,24555,3145,0.5,0,2.0,-9385.908471074375,-227878.78788520666
24255,24555,3155,0.51,0,2.0,-7922.386971074378,-235801.17485628105
24255,24555,3165,0.51,0,2.0,-7922.386971074378,-243723.56182735544
24255,24555,3175,0.51,0,3.0,-7202.169973703979,-250925.73180105942
24255,24555,3185,0.5,0,3.0,-8532.644064613067,-259458.37586567248
24255,24555,3195,0.53,0,3.0,-4541.221791885803,-263999.5976575583
24255,24555,3205,0.53,0,3.0,-4541.221791885803,-268540.81944944407
24255,24555,3215,0.53,0,3.0,-4541.221791885803,-273082.04124132986
24255,24555,3225,0.53,0,3.0,-4541.221791885803,-277623.26303321566
24255,24555,3235,0.53,0,3.0,-4541.221791885803,-282164.48482510145
24255,24555,3245,0.53,0,4.0,-4128.383447168912,-286292.86827227037
24255,24555,3255,0.53,0,4.0,-4128.383447168912,-290421.2517194393
24255,24555,3265,0.54,0,4.0,-2918.861546342468,-293340.1132657818
24255,24555,3275,0.54,0,4.0,-2918.861546342468,-296258.9748121243
24255,24555,3285,0.53,0,4.0,-4128.383447168912,-300387.3582592932
24255,24555,3295,0.53,0,4.0,-4128.383447168912,-304515.7417064621
24255,24555,3305,0.52,0,4.0,-5337.905347995355,-309853.64705445745
24255,24555,3315,0.54,0,5.0,-2653.510496674971,-312507.15755113243
24255,24555,3325,0.57,0,5.0,645.1855964880697,-311861.97195464437
24255,24555,3335,0.61,0,5.0,5043.447054038763,-306818.5249006056
24255,24555,3345,0.56,0,5.0,-454.3797678996065,-307272.90466850525
24255,24555,3355,0.48,0,5.0,-9250.902683001039,-316523.80735150626
24255,24555,3365,0.46,0,5.0,-11450.033411776392,-327973.8407632827
24255,24555,3375,0.44,0,5.0,-13649.164140551744,-341623.00490383443
24255,24555,3385,0.38,0,5.0,-20246.55632687782,-361869.5612307122
24255,24555,3395,0.38,0,5.0,-20246.55632687782,-382116.11755759
24255,24555,3405,0.35,0,5.0,-23545.25242004086,-405661.36997763085
24255,24555,3415,0.32,0,5.0,-26843.94851320389,-432505.31849083473
24255,24565,3025,0.45,0,0.0,-20211.254325,-20211.254325
24255,24565,3035,0.45,0,0.0,-20211.254325,-40422.50865
24255,24565,3045,0.45,0,0.0,-20211.254325,-60633.762975000005
24255,24565,3055,0.46,0,0.0,-18440.393310000003,-79074.156285
24255,24565,3065,0.46,0,1.0,-16763.99391818182,-95838.15020318182
24255,24565,3075,0.47,0,1.0,-15154.12026818183,-110992.27047136365
24255,24565,3085,0.47,0,1.0,-15154.12026818183,-126146.39073954547
24255,24565,3095,0.46,0,1.0,-16763.99391818182,-142910.3846577273
24255,24565,3105,0.49,0,1.0,-11934.37296818183,-154844.75762590911
24255,24565,3115,0.53,0,2.0,-4995.343971074384,-159840.1015969835
24255,24565,3125,0.52,0,2.0,-6458.865471074381,-166298.9670680579
24255,24565,3135,0.51,0,2.0,-7922.386971074378,-174221.35403913227
24255,24565,3145,0.5,0,2.0,-9385.908471074375,-183607.26251020664
24255,24565,3155,0.51,0,2.0,-7922.386971074378,-191529.64948128103
24255,24565,3165,0.51,0,2.0,-7922.386971074378,-199452.03645235542
24255,24565,3175,0.51,0,3.0,-7202.169973703979,-206654.2064260594
24255,24565,3185,0.5,0,3.0,-8532.644064613067,-215186.85049067246
24255,24565,3195,0.52,0,3.0,-5871.695882794891,-221058.54637346734
24255,24565,3205,0.53,0,3.0,-4541.221791885803,-225599.76816535313
24255,24565,3215,0.53,0,3.0,-4541.221791885803,-230140.98995723893
24255,24565,3225,0.53,0,3.0,-4541.221791885803,-234682.21174912472
24255,24565,3235,0.53,0,3.0,-4541.221791885803,-239223.4335410105
24255,24565,3245,0.53,0,4.0,-4128.383447168912,-243351.81698817943
24255,24565,3255,0.54,0,4.0,-2918.861546342468,-246270.6785345219
24255,24565,3265,0.54,0,4.0,-2918.861546342468,-249189.54008086436
24255,24565,3275,0.55,0,4.0,-1709.3396455160112,-250898.87972638037
24255,24565,3285,0.53,0,4.0,-4128.383447168912,-255027.2631735493
24255,24565,3295,0.55,0,4.0,-1709.3396455160112,-256736.6028190653
24255,24565,3305,0.54,0,4.0,-2918.861546342468,-259655.46436540777
24255,24565,3315,0.55,0,5.0,-1553.9451322872828,-261209.40949769504
24255,24565,3325,0.59,0,5.0,2844.316325263422,-258365.09317243163
24255,24565,3335,0.63,0,5.0,7242.577782814127,-251122.5153896175
24255,24565,3345,0.56,0,5.0,-454.3797678996065,-251576.8951575171
24255,24565,3355,0.46,0,5.0,-11450.033411776392,-263026.9285692935
24255,24565,3365,0.44,0,5.0,-13649.164140551744,-276676.0927098453
24255,24565,3375,0.42,0,5.0,-15848.29486932711,-292524.3875791724
24255,24565,3385,0.4,0,5.0,-18047.42559810246,-310571.81317727483
24255,24565,3395,0.36,0,5.0,-22445.68705565318,-333017.500232928
24255,24565,3405,0.37,0,5.0,-21346.121691265496,-354363.6219241935
