z,ton_total,USD_env,USD_neto
2755.0,15622200.0,58676415.122993425,-26389124.99313496
2765.0,15322500.0,58150568.214777365,-27699268.47031823
2775.0,15163200.0,57080026.29822415,-29318140.380490735
2785.0,14831100.0,55786139.97422002,-31184712.273945622
2795.0,14720400.0,54842771.475209236,-33172674.91893878
2805.0,14644800.0,53340268.70915002,-35732340.18530918
2815.0,14436900.0,51655364.1872262,-38230504.69317141
2825.0,14196600.0,50013181.77091901,-40333415.65964323
2835.0,13977900.0,48762235.379824474,-42123761.12883853
2845.0,14042700.0,47479328.73724605,-44127924.012400046
2855.0,13880700.0,46300254.62735208,-46252030.417750046
2865.0,13497300.0,45297716.478370234,-48209488.563735366
2875.0,13859100.0,44359536.0024713,-50103202.02468589
2885.0,13510800.0,43754774.34273331,-51824162.67009171
2895.0,13464900.0,43329013.603905834,-53082093.9786732
2905.0,13505400.0,43308906.327094726,-53684410.64826046
2915.0,13527000.0,43529054.37990527,-53717957.84474248
2925.0,13629600.0,44228866.99353567,-53272236.18910192
2935.0,13521600.0,44813263.730693996,-52294568.96488224
2945.0,13443300.0,45712094.79537591,-50737757.845353425
2955.0,13751100.0,46649721.46758078,-48663465.588493295
2965.0,13999500.0,47738318.07290523,-46133536.43935585
2975.0,14164200.0,49013265.223339796,-42939336.64095302
2985.0,14609700.0,50524263.64953063,-39428777.83876889
2995.0,14793300.0,52198068.278702736,-35878702.39651552
3005.0,14825700.0,53639881.79187155,-32530622.374805495
3015.0,14647500.0,54997693.637362316,-29831063.207612343
3025.0,14615100.0,55964546.551611565,-28433988.608331054
3035.0,14485500.0,56592797.66290409,-28283993.34737371
3045.0,14258700.0,57106820.163031474,-28734316.944701713
3055.0,14334300.0,57682009.590748966,-29896300.69838167
3065.0,14196600.0,58098910.521672614,-32175093.11252841
3075.0,13975200.0,58248855.571318105,-35555963.94770313
3085.0,13710600.0,58268349.69082515,-40056426.69618193
3095.0,13340700.0,58007915.161905654,-45572459.17579764
3105.0,13327200.0,57409852.26303914,-51770258.66491251
